1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E50000007D93F841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Apr 13 00:00:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 07:00:01 BST 2024
Total Mission Samples:  7182
Total Device Samples:  86626
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 07:00:01,%RH,104.228
16/06/2024, 07:30:01,%RH,104.721
16/06/2024, 08:00:01,%RH,103.733
16/06/2024, 08:30:01,%RH,102.739
16/06/2024, 09:00:01,%RH,101.74
16/06/2024, 09:30:01,%RH,98.201
16/06/2024, 10:00:01,%RH,94.076
16/06/2024, 10:30:01,%RH,92.508
16/06/2024, 11:00:01,%RH,87.192
16/06/2024, 11:30:01,%RH,87.192
16/06/2024, 12:00:01,%RH,91.982
16/06/2024, 12:30:01,%RH,86.653
16/06/2024, 13:00:01,%RH,87.729
16/06/2024, 13:30:01,%RH,89.334
16/06/2024, 14:00:01,%RH,86.112
16/06/2024, 14:30:01,%RH,85.571
16/06/2024, 15:00:01,%RH,83.938
16/06/2024, 15:30:01,%RH,85.028
16/06/2024, 16:00:01,%RH,87.729
16/06/2024, 16:30:01,%RH,93.032
16/06/2024, 17:00:01,%RH,98.201
16/06/2024, 17:30:01,%RH,100.735
16/06/2024, 18:00:01,%RH,100.735
16/06/2024, 18:30:01,%RH,102.24
16/06/2024, 19:00:01,%RH,103.237
16/06/2024, 19:30:01,%RH,102.739
16/06/2024, 20:00:01,%RH,102.739
16/06/2024, 20:30:01,%RH,102.24
16/06/2024, 21:00:01,%RH,100.735
16/06/2024, 21:30:01,%RH,102.24
16/06/2024, 22:00:01,%RH,103.237
16/06/2024, 22:30:01,%RH,102.739
16/06/2024, 23:00:01,%RH,103.733
16/06/2024, 23:30:01,%RH,103.237
17/06/2024, 00:00:01,%RH,101.74
17/06/2024, 00:30:01,%RH,101.238
17/06/2024, 01:00:01,%RH,101.74
17/06/2024, 01:30:01,%RH,102.24
17/06/2024, 02:00:01,%RH,102.739
17/06/2024, 02:30:01,%RH,103.237
17/06/2024, 03:00:01,%RH,103.237
17/06/2024, 03:30:01,%RH,103.733
17/06/2024, 04:00:01,%RH,103.733
17/06/2024, 04:30:01,%RH,103.237
17/06/2024, 05:00:01,%RH,103.733
17/06/2024, 05:30:01,%RH,104.228
17/06/2024, 06:00:01,%RH,103.733
17/06/2024, 06:30:01,%RH,104.228
17/06/2024, 07:00:01,%RH,103.237
17/06/2024, 07:30:01,%RH,103.237
17/06/2024, 08:00:01,%RH,102.24
17/06/2024, 08:30:01,%RH,102.739
17/06/2024, 09:00:01,%RH,98.71
17/06/2024, 09:30:01,%RH,100.231
17/06/2024, 10:00:01,%RH,99.219
17/06/2024, 10:30:01,%RH,90.397
17/06/2024, 11:00:01,%RH,94.076
17/06/2024, 11:30:01,%RH,94.076
17/06/2024, 12:00:01,%RH,91.982
17/06/2024, 12:30:01,%RH,92.508
17/06/2024, 13:00:01,%RH,85.571
17/06/2024, 13:30:01,%RH,84.484
17/06/2024, 14:00:01,%RH,83.391
17/06/2024, 14:30:01,%RH,77.287
17/06/2024, 15:00:01,%RH,78.409
17/06/2024, 15:30:01,%RH,81.19
17/06/2024, 16:00:01,%RH,81.742
17/06/2024, 16:30:01,%RH,79.525
17/06/2024, 17:00:01,%RH,81.742
17/06/2024, 17:30:01,%RH,85.028
17/06/2024, 18:00:01,%RH,86.112
17/06/2024, 18:30:01,%RH,85.571
17/06/2024, 19:00:01,%RH,88.8
17/06/2024, 19:30:01,%RH,88.265
17/06/2024, 20:00:01,%RH,89.334
17/06/2024, 20:30:01,%RH,89.866
17/06/2024, 21:00:01,%RH,91.982
17/06/2024, 21:30:01,%RH,93.555
17/06/2024, 22:00:01,%RH,96.149
17/06/2024, 22:30:01,%RH,97.178
17/06/2024, 23:00:01,%RH,96.664
17/06/2024, 23:30:01,%RH,96.149
18/06/2024, 00:00:01,%RH,96.149
18/06/2024, 00:30:01,%RH,96.664
18/06/2024, 01:00:01,%RH,97.178
18/06/2024, 01:30:01,%RH,97.69
18/06/2024, 02:00:01,%RH,98.71
18/06/2024, 02:30:01,%RH,99.726
18/06/2024, 03:00:01,%RH,99.726
18/06/2024, 03:30:01,%RH,100.231
18/06/2024, 04:00:01,%RH,99.726
18/06/2024, 04:30:01,%RH,100.735
18/06/2024, 05:00:01,%RH,100.231
18/06/2024, 05:30:01,%RH,98.201
18/06/2024, 06:00:01,%RH,96.664
18/06/2024, 06:30:01,%RH,97.178
18/06/2024, 07:00:01,%RH,97.178
18/06/2024, 07:30:01,%RH,96.664
18/06/2024, 08:00:01,%RH,95.115
18/06/2024, 08:30:01,%RH,94.076
18/06/2024, 09:00:01,%RH,93.555
18/06/2024, 09:30:01,%RH,89.334
18/06/2024, 10:00:01,%RH,87.729
18/06/2024, 10:30:01,%RH,87.192
18/06/2024, 11:00:01,%RH,87.192
18/06/2024, 11:30:01,%RH,84.484
18/06/2024, 12:00:01,%RH,84.484
18/06/2024, 12:30:01,%RH,80.637
18/06/2024, 13:00:01,%RH,80.637
18/06/2024, 13:30:01,%RH,81.19
18/06/2024, 14:00:01,%RH,80.637
18/06/2024, 14:30:01,%RH,80.082
