1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 04:59:01 BST 2024
Total Mission Samples:  7178
Total Device Samples:  32306
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 04:59:01,C,7.014
16/06/2024, 05:29:01,C,7.516
16/06/2024, 05:59:01,C,8.52
16/06/2024, 06:29:01,C,9.022
16/06/2024, 06:59:01,C,9.524
16/06/2024, 07:29:01,C,10.528
16/06/2024, 07:59:01,C,11.029
16/06/2024, 08:29:01,C,11.531
16/06/2024, 08:59:01,C,12.033
16/06/2024, 09:29:01,C,12.534
16/06/2024, 09:59:01,C,13.036
16/06/2024, 10:29:01,C,13.036
16/06/2024, 10:59:01,C,13.537
16/06/2024, 11:29:01,C,14.54
16/06/2024, 11:59:01,C,14.54
16/06/2024, 12:29:01,C,13.537
16/06/2024, 12:59:01,C,14.039
16/06/2024, 13:29:01,C,14.54
16/06/2024, 13:59:01,C,13.537
16/06/2024, 14:29:01,C,14.039
16/06/2024, 14:59:01,C,14.54
16/06/2024, 15:29:01,C,14.039
16/06/2024, 15:59:01,C,13.537
16/06/2024, 16:29:01,C,13.036
16/06/2024, 16:59:01,C,11.531
16/06/2024, 17:29:01,C,11.029
16/06/2024, 17:59:01,C,11.029
16/06/2024, 18:29:01,C,11.029
16/06/2024, 18:59:01,C,11.029
16/06/2024, 19:29:01,C,11.029
16/06/2024, 19:59:01,C,11.029
16/06/2024, 20:29:01,C,11.029
16/06/2024, 20:59:01,C,11.029
16/06/2024, 21:29:01,C,10.528
16/06/2024, 21:59:01,C,10.528
16/06/2024, 22:29:01,C,10.026
16/06/2024, 22:59:01,C,10.528
16/06/2024, 23:29:01,C,10.528
16/06/2024, 23:59:01,C,10.026
17/06/2024, 00:29:01,C,10.026
17/06/2024, 00:59:01,C,10.026
17/06/2024, 01:29:01,C,10.026
17/06/2024, 01:59:01,C,10.026
17/06/2024, 02:29:01,C,10.026
17/06/2024, 02:59:01,C,10.026
17/06/2024, 03:29:01,C,10.026
17/06/2024, 03:59:01,C,10.026
17/06/2024, 04:29:01,C,10.026
17/06/2024, 04:59:01,C,10.026
17/06/2024, 05:29:01,C,10.528
17/06/2024, 05:59:01,C,10.528
17/06/2024, 06:29:01,C,10.528
17/06/2024, 06:59:01,C,11.029
17/06/2024, 07:29:01,C,11.531
17/06/2024, 07:59:01,C,11.531
17/06/2024, 08:29:01,C,12.033
17/06/2024, 08:59:01,C,12.534
17/06/2024, 09:29:01,C,12.534
17/06/2024, 09:59:01,C,12.534
17/06/2024, 10:29:01,C,14.54
17/06/2024, 10:59:01,C,14.54
17/06/2024, 11:29:01,C,14.54
17/06/2024, 11:59:01,C,16.044
17/06/2024, 12:29:01,C,14.54
17/06/2024, 12:59:01,C,16.044
17/06/2024, 13:29:01,C,16.044
17/06/2024, 13:59:01,C,17.046
17/06/2024, 14:29:01,C,18.048
17/06/2024, 14:59:01,C,16.044
17/06/2024, 15:29:01,C,18.549
17/06/2024, 15:59:01,C,16.044
17/06/2024, 16:29:01,C,18.048
17/06/2024, 16:59:01,C,14.54
17/06/2024, 17:29:01,C,15.041
17/06/2024, 17:59:01,C,14.54
17/06/2024, 18:29:01,C,14.54
17/06/2024, 18:59:01,C,13.537
17/06/2024, 19:29:01,C,13.036
17/06/2024, 19:59:01,C,12.534
17/06/2024, 20:29:01,C,12.534
17/06/2024, 20:59:01,C,12.033
17/06/2024, 21:29:01,C,11.531
17/06/2024, 21:59:01,C,11.531
17/06/2024, 22:29:01,C,11.029
17/06/2024, 22:59:01,C,11.029
17/06/2024, 23:29:01,C,11.029
17/06/2024, 23:59:01,C,10.528
18/06/2024, 00:29:01,C,10.528
18/06/2024, 00:59:01,C,10.528
18/06/2024, 01:29:01,C,10.528
18/06/2024, 01:59:01,C,10.528
18/06/2024, 02:29:01,C,10.026
18/06/2024, 02:59:01,C,10.026
18/06/2024, 03:29:01,C,10.026
18/06/2024, 03:59:01,C,10.026
18/06/2024, 04:29:01,C,10.026
18/06/2024, 04:59:01,C,10.026
18/06/2024, 05:29:01,C,10.026
18/06/2024, 05:59:01,C,10.026
18/06/2024, 06:29:01,C,11.029
18/06/2024, 06:59:01,C,11.029
18/06/2024, 07:29:01,C,12.033
18/06/2024, 07:59:01,C,12.033
18/06/2024, 08:29:01,C,13.036
18/06/2024, 08:59:01,C,12.534
18/06/2024, 09:29:01,C,13.036
18/06/2024, 09:59:01,C,13.036
18/06/2024, 10:29:01,C,13.537
18/06/2024, 10:59:01,C,13.036
18/06/2024, 11:29:01,C,13.036
18/06/2024, 11:59:01,C,14.039
18/06/2024, 12:29:01,C,15.041
18/06/2024, 12:59:01,C,15.542
18/06/2024, 13:29:01,C,17.046
18/06/2024, 13:59:01,C,15.041
18/06/2024, 14:29:01,C,18.048
18/06/2024, 14:59:01,C,16.545
18/06/2024, 15:29:01,C,16.545
18/06/2024, 15:59:01,C,20.551
18/06/2024, 16:29:01,C,19.049
18/06/2024, 16:59:01,C,17.046
18/06/2024, 17:29:01,C,16.044
18/06/2024, 17:59:01,C,16.044
18/06/2024, 18:29:01,C,15.542
18/06/2024, 18:59:01,C,16.044
18/06/2024, 19:29:01,C,14.54
18/06/2024, 19:59:01,C,14.039
18/06/2024, 20:29:01,C,14.039
18/06/2024, 20:59:01,C,12.534
18/06/2024, 21:29:01,C,12.033
18/06/2024, 21:59:01,C,11.531
18/06/2024, 22:29:01,C,11.029
18/06/2024, 22:59:01,C,11.029
18/06/2024, 23:29:01,C,11.531
18/06/2024, 23:59:01,C,11.531
19/06/2024, 00:29:01,C,10.528
19/06/2024, 00:59:01,C,10.026
19/06/2024, 01:29:01,C,9.524
19/06/2024, 01:59:01,C,10.026
19/06/2024, 02:29:01,C,9.022
19/06/2024, 02:59:01,C,9.524
