1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007F025941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Fri Apr 12 23:59:01 BST 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 16 04:59:01 BST 2024
Total Mission Samples:  7178
Total Device Samples:  32306
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
16/06/2024, 04:59:01,%RH,105.223
16/06/2024, 05:29:01,%RH,104.274
16/06/2024, 05:59:01,%RH,104.75
16/06/2024, 06:29:01,%RH,104.274
16/06/2024, 06:59:01,%RH,104.75
16/06/2024, 07:29:01,%RH,104.274
16/06/2024, 07:59:01,%RH,103.318
16/06/2024, 08:29:01,%RH,100.405
16/06/2024, 08:59:01,%RH,97.428
16/06/2024, 09:29:01,%RH,96.925
16/06/2024, 09:59:01,%RH,91.801
16/06/2024, 10:29:01,%RH,91.279
16/06/2024, 10:59:01,%RH,87.572
16/06/2024, 11:29:01,%RH,83.228
16/06/2024, 11:59:01,%RH,86.497
16/06/2024, 12:29:01,%RH,81.012
16/06/2024, 12:59:01,%RH,84.324
16/06/2024, 13:29:01,%RH,83.228
16/06/2024, 13:59:01,%RH,82.123
16/06/2024, 14:29:01,%RH,81.569
16/06/2024, 14:59:01,%RH,82.123
16/06/2024, 15:29:01,%RH,79.894
16/06/2024, 15:59:01,%RH,84.87
16/06/2024, 16:29:01,%RH,88.64
16/06/2024, 16:59:01,%RH,96.421
16/06/2024, 17:29:01,%RH,98.427
16/06/2024, 17:59:01,%RH,99.913
16/06/2024, 18:29:01,%RH,99.913
16/06/2024, 18:59:01,%RH,101.383
16/06/2024, 19:29:01,%RH,101.383
16/06/2024, 19:59:01,%RH,101.383
16/06/2024, 20:29:01,%RH,101.87
16/06/2024, 20:59:01,%RH,101.383
16/06/2024, 21:29:01,%RH,102.354
16/06/2024, 21:59:01,%RH,101.87
16/06/2024, 22:29:01,%RH,102.354
16/06/2024, 22:59:01,%RH,102.354
16/06/2024, 23:29:01,%RH,102.354
16/06/2024, 23:59:01,%RH,102.354
17/06/2024, 00:29:01,%RH,102.354
17/06/2024, 00:59:01,%RH,102.837
17/06/2024, 01:29:01,%RH,102.837
17/06/2024, 01:59:01,%RH,102.837
17/06/2024, 02:29:01,%RH,102.837
17/06/2024, 02:59:01,%RH,102.354
17/06/2024, 03:29:01,%RH,102.837
17/06/2024, 03:59:01,%RH,102.354
17/06/2024, 04:29:01,%RH,102.837
17/06/2024, 04:59:01,%RH,103.797
17/06/2024, 05:29:01,%RH,102.837
17/06/2024, 05:59:01,%RH,103.797
17/06/2024, 06:29:01,%RH,103.318
17/06/2024, 06:59:01,%RH,102.837
17/06/2024, 07:29:01,%RH,100.895
17/06/2024, 07:59:01,%RH,99.913
17/06/2024, 08:29:01,%RH,99.42
17/06/2024, 08:59:01,%RH,97.428
17/06/2024, 09:29:01,%RH,96.421
17/06/2024, 09:59:01,%RH,98.925
17/06/2024, 10:29:01,%RH,96.421
17/06/2024, 10:59:01,%RH,93.357
17/06/2024, 11:29:01,%RH,93.357
17/06/2024, 11:59:01,%RH,84.87
17/06/2024, 12:29:01,%RH,88.107
17/06/2024, 12:59:01,%RH,85.956
17/06/2024, 13:29:01,%RH,83.228
17/06/2024, 13:59:01,%RH,77.066
17/06/2024, 14:29:01,%RH,70.096
17/06/2024, 14:59:01,%RH,74.771
17/06/2024, 15:29:01,%RH,69.503
17/06/2024, 15:59:01,%RH,78.202
17/06/2024, 16:29:01,%RH,70.096
17/06/2024, 16:59:01,%RH,79.894
17/06/2024, 17:29:01,%RH,82.123
17/06/2024, 17:59:01,%RH,81.569
17/06/2024, 18:29:01,%RH,81.012
17/06/2024, 18:59:01,%RH,85.414
17/06/2024, 19:29:01,%RH,84.87
17/06/2024, 19:59:01,%RH,89.171
17/06/2024, 20:29:01,%RH,90.754
17/06/2024, 20:59:01,%RH,92.84
17/06/2024, 21:29:01,%RH,96.421
17/06/2024, 21:59:01,%RH,96.421
17/06/2024, 22:29:01,%RH,96.925
17/06/2024, 22:59:01,%RH,97.929
17/06/2024, 23:29:01,%RH,97.428
17/06/2024, 23:59:01,%RH,96.421
18/06/2024, 00:29:01,%RH,97.428
18/06/2024, 00:59:01,%RH,97.428
18/06/2024, 01:29:01,%RH,98.925
18/06/2024, 01:59:01,%RH,97.929
18/06/2024, 02:29:01,%RH,99.913
18/06/2024, 02:59:01,%RH,100.405
18/06/2024, 03:29:01,%RH,100.895
18/06/2024, 03:59:01,%RH,99.913
18/06/2024, 04:29:01,%RH,101.383
18/06/2024, 04:59:01,%RH,100.895
18/06/2024, 05:29:01,%RH,99.913
18/06/2024, 05:59:01,%RH,99.913
18/06/2024, 06:29:01,%RH,97.929
18/06/2024, 06:59:01,%RH,96.421
18/06/2024, 07:29:01,%RH,94.386
18/06/2024, 07:59:01,%RH,90.754
18/06/2024, 08:29:01,%RH,88.107
18/06/2024, 08:59:01,%RH,88.107
18/06/2024, 09:29:01,%RH,83.777
18/06/2024, 09:59:01,%RH,84.87
18/06/2024, 10:29:01,%RH,84.324
18/06/2024, 10:59:01,%RH,84.324
18/06/2024, 11:29:01,%RH,84.324
18/06/2024, 11:59:01,%RH,81.012
18/06/2024, 12:29:01,%RH,78.768
18/06/2024, 12:59:01,%RH,78.202
18/06/2024, 13:29:01,%RH,71.863
18/06/2024, 13:59:01,%RH,79.332
