,regen3,regen3,regen6,regen6,norway,norway,regen1,regen1,regen7,regen7,regen5,regen5,cat_bield,cat_bield,regen4,regen4,great_wood,great_wood,regen2,regen2
,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity
2024-04-13 00:00:00,9.592,124.33,,,,,9.059,107.98,9.557,104.585,,,,,,,,,8.52,102.354
2024-04-13 00:30:00,9.091,124.33,8.607,103.681,9.082,105.004,9.059,106.18,9.056,104.585,8.592,102.901,8.533,107.072,9.037,106.566,9.046,105.214,8.52,102.837
2024-04-13 01:00:00,9.592,123.019,8.607,104.682,9.082,105.004,9.059,105.725,9.056,105.041,8.592,103.372,8.533,106.122,8.535,106.566,9.046,106.682,9.022,102.837
2024-04-13 01:30:00,9.592,123.019,9.109,104.182,9.082,105.004,9.059,107.083,9.557,105.041,8.592,103.841,8.533,106.122,9.037,106.566,9.046,105.704,9.022,103.318
2024-04-13 02:00:00,9.592,124.33,9.109,104.182,9.082,105.48,9.059,106.18,9.557,105.041,8.592,103.372,9.034,107.072,9.037,107.059,9.046,105.704,9.022,103.318
2024-04-13 02:30:00,9.592,122.58,9.109,104.182,9.082,105.48,9.059,106.18,9.557,105.041,8.592,103.841,9.034,106.598,9.037,107.059,9.046,106.194,9.022,102.837
2024-04-13 03:00:00,9.592,123.019,9.109,104.182,9.082,105.48,9.059,106.18,9.557,104.585,8.592,103.841,9.034,107.072,9.037,107.059,9.046,103.733,9.022,103.797
2024-04-13 03:30:00,9.592,122.58,9.109,103.681,9.082,105.954,9.561,106.632,9.557,104.585,8.592,103.372,9.034,107.072,9.037,107.059,9.046,105.704,9.022,103.318
2024-04-13 04:00:00,9.592,124.33,9.109,104.182,9.584,105.954,9.059,107.083,9.557,105.496,8.592,103.841,9.034,107.544,9.037,106.566,9.046,105.214,9.022,103.797
2024-04-13 04:30:00,9.592,124.33,9.109,104.182,9.082,105.48,9.059,107.083,9.557,104.585,8.592,103.841,9.034,106.598,9.037,107.059,9.046,106.194,9.022,103.318
2024-04-13 05:00:00,9.592,124.33,9.109,104.682,9.082,105.954,9.059,107.083,9.557,105.949,8.592,103.841,9.034,107.072,9.037,107.55,9.046,105.704,8.52,103.797
2024-04-13 05:30:00,9.592,124.33,8.607,104.682,9.082,106.427,9.059,107.083,9.557,105.496,8.592,104.309,9.034,105.644,9.037,107.059,9.046,106.194,9.022,103.797
2024-04-13 06:00:00,9.592,124.33,8.607,104.682,9.082,105.954,9.059,107.083,9.056,105.041,8.592,103.372,9.034,107.072,8.535,107.059,9.046,105.704,8.52,104.274
2024-04-13 06:30:00,9.592,122.139,8.607,105.18,9.082,106.897,9.059,107.533,9.056,105.496,8.592,103.841,9.034,106.598,8.535,107.059,9.046,105.704,8.52,103.797
2024-04-13 07:00:00,9.592,123.019,8.607,104.682,9.082,106.427,9.059,107.533,9.056,105.496,8.592,103.841,9.034,106.598,8.535,107.55,9.046,105.704,8.52,103.318
2024-04-13 07:30:00,9.592,122.139,8.607,104.682,9.082,105.954,9.059,107.533,9.557,105.949,8.592,104.309,9.034,106.598,8.535,107.55,9.046,106.194,9.022,103.797
2024-04-13 08:00:00,9.592,124.33,9.109,104.682,9.082,106.427,9.561,107.533,9.557,105.949,8.592,102.429,9.034,107.544,9.037,107.55,9.046,106.194,9.022,103.797
2024-04-13 08:30:00,9.592,122.139,9.109,104.682,9.584,105.954,9.561,107.083,9.557,105.496,8.592,104.309,9.034,107.072,9.037,107.55,9.046,105.704,9.022,103.797
2024-04-13 09:00:00,9.592,124.33,9.109,104.682,9.584,105.954,9.561,107.083,9.557,104.585,9.094,103.841,9.034,107.072,9.037,107.55,9.547,106.194,9.022,103.318
2024-04-13 09:30:00,10.094,122.139,9.109,104.182,9.584,106.427,9.561,106.632,10.058,105.041,9.094,103.841,9.034,106.598,9.037,107.55,9.547,106.194,9.524,102.354
2024-04-13 10:00:00,10.094,121.252,9.109,104.682,9.584,105.954,10.062,107.083,10.058,104.585,9.094,104.309,9.535,106.598,9.539,107.059,9.547,105.214,9.524,103.318
2024-04-13 10:30:00,10.595,121.252,9.61,104.182,9.584,105.954,10.062,106.18,10.559,105.041,9.094,103.372,9.535,107.544,9.539,107.55,9.547,105.704,10.026,101.87
2024-04-13 11:00:00,10.595,123.894,9.61,104.682,10.085,105.954,10.062,106.18,10.559,104.128,9.595,103.372,10.036,106.122,10.04,107.55,10.048,104.228,10.026,100.895
2024-04-13 11:30:00,10.094,121.252,9.61,103.178,10.085,105.954,10.062,105.725,10.058,103.207,9.595,103.372,10.036,107.072,9.539,107.55,10.048,105.704,9.524,102.354
2024-04-13 12:00:00,10.094,121.252,9.61,104.182,10.085,105.48,10.062,106.18,10.058,103.668,9.595,103.372,9.535,106.122,9.539,108.528,10.048,104.721,9.524,102.837
2024-04-13 12:30:00,10.094,121.252,9.61,104.182,9.584,105.954,9.561,106.18,10.058,104.128,9.094,102.901,9.535,106.598,9.539,107.55,10.048,105.214,9.524,103.318
2024-04-13 13:00:00,10.595,121.252,9.109,104.182,9.584,105.48,10.062,107.083,10.559,104.128,9.094,103.372,9.535,106.598,9.539,107.059,9.547,104.721,10.026,102.837
2024-04-13 13:30:00,11.096,121.252,9.61,104.682,10.085,105.954,10.062,104.811,10.559,104.128,9.595,101.954,10.036,107.072,10.04,107.55,10.048,105.214,10.026,101.383
