,regen3,regen3,regen6,regen6,norway,norway,regen1,regen1,regen7,regen7,regen5,regen5,cat_bield,cat_bield,regen4,regen4,great_wood,great_wood,regen2,regen2
,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity,temperature,relative humidity
2024-06-16 03:00:00,,,,,,,,,,,,,5.025,113.972,,,,,,
2024-06-16 03:30:00,,,,,,,,,,,,,5.025,114.418,,,,,,
2024-06-16 04:00:00,,,,,,,,,,,,,5.025,114.418,,,,,,
2024-06-16 04:30:00,,,6.602,106.172,,,6.553,106.632,,,,,5.526,113.525,,,,,,
2024-06-16 05:00:00,,,6.602,105.677,,,7.556,106.632,7.051,105.496,6.083,104.775,6.528,113.075,6.528,107.059,,,7.014,105.223
2024-06-16 05:30:00,8.088,121.252,7.103,105.677,,,8.057,106.18,7.552,105.949,7.087,103.841,7.531,113.972,7.03,107.059,,,7.516,104.274
2024-06-16 06:00:00,8.088,121.252,7.605,105.18,7.075,105.954,8.558,106.632,8.053,105.496,7.589,103.841,8.032,113.972,8.034,107.059,,,8.52,104.75
2024-06-16 06:30:00,9.091,124.33,8.106,105.677,7.577,105.48,9.561,107.533,9.056,105.041,8.09,104.309,8.533,113.972,8.535,106.566,,,9.022,104.274
2024-06-16 07:00:00,9.592,121.252,8.607,105.18,8.079,106.427,10.062,106.18,9.557,105.041,8.592,104.775,9.535,113.525,9.037,106.566,,,9.524,104.75
2024-06-16 07:30:00,10.094,121.252,9.109,105.677,8.581,106.427,10.563,106.632,10.559,105.041,9.094,104.775,10.036,113.525,9.037,106.072,9.547,104.228,10.528,104.274
2024-06-16 08:00:00,10.595,124.33,9.61,105.18,9.082,105.954,11.565,105.725,11.061,104.585,9.595,103.841,10.537,113.972,9.539,106.566,10.048,104.721,11.029,103.318
2024-06-16 08:30:00,11.597,121.252,9.61,105.677,10.085,105.004,12.066,99.663,11.562,103.668,10.097,103.841,12.54,113.972,10.04,106.566,10.549,103.733,11.531,100.405
2024-06-16 09:00:00,11.597,124.33,10.612,104.682,10.587,105.954,13.067,98.223,12.063,105.041,10.599,101.954,12.039,113.075,10.542,106.072,11.05,102.739,12.033,97.428
