1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 510000007D92D241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue Mar 03 23:59:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:29:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  147266
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/06/2026, 05:29:01,%RH,109.313
10/06/2026, 05:59:01,%RH,103.428
10/06/2026, 06:29:01,%RH,108.87
10/06/2026, 06:59:01,%RH,112.362
10/06/2026, 07:29:01,%RH,104.811
10/06/2026, 07:59:01,%RH,105.725
10/06/2026, 08:29:01,%RH,105.725
10/06/2026, 08:59:01,%RH,108.87
10/06/2026, 09:29:01,%RH,106.18
10/06/2026, 09:59:01,%RH,102.029
10/06/2026, 10:29:01,%RH,100.614
10/06/2026, 10:59:01,%RH,97.739
10/06/2026, 11:29:01,%RH,103.428
10/06/2026, 11:59:01,%RH,98.223
10/06/2026, 12:29:01,%RH,107.98
10/06/2026, 12:59:01,%RH,102.497
10/06/2026, 13:29:01,%RH,97.739
10/06/2026, 13:59:01,%RH,90.283
10/06/2026, 14:29:01,%RH,88.23
10/06/2026, 14:59:01,%RH,102.963
10/06/2026, 15:29:01,%RH,102.029
10/06/2026, 15:59:01,%RH,101.087
10/06/2026, 16:29:01,%RH,106.18
10/06/2026, 16:59:01,%RH,93.312
10/06/2026, 17:29:01,%RH,102.029
10/06/2026, 17:59:01,%RH,90.283
10/06/2026, 18:29:01,%RH,92.811
10/06/2026, 18:59:01,%RH,97.739
10/06/2026, 19:29:01,%RH,100.139
10/06/2026, 19:59:01,%RH,96.279
10/06/2026, 20:29:01,%RH,96.767
10/06/2026, 20:59:01,%RH,96.279
10/06/2026, 21:29:01,%RH,100.614
10/06/2026, 21:59:01,%RH,107.083
10/06/2026, 22:29:01,%RH,104.811
10/06/2026, 22:59:01,%RH,108.87
10/06/2026, 23:29:01,%RH,108.87
10/06/2026, 23:59:01,%RH,108.87
11/06/2026, 00:29:01,%RH,108.87
11/06/2026, 00:59:01,%RH,106.18
11/06/2026, 01:29:01,%RH,105.269
11/06/2026, 01:59:01,%RH,104.352
11/06/2026, 02:29:01,%RH,105.725
11/06/2026, 02:59:01,%RH,108.426
11/06/2026, 03:29:01,%RH,105.269
11/06/2026, 03:59:01,%RH,110.192
11/06/2026, 04:29:01,%RH,110.63
11/06/2026, 04:59:01,%RH,104.352
11/06/2026, 05:29:01,%RH,106.632
11/06/2026, 05:59:01,%RH,111.065
11/06/2026, 06:29:01,%RH,112.362
11/06/2026, 06:59:01,%RH,106.632
11/06/2026, 07:29:01,%RH,106.632
11/06/2026, 07:59:01,%RH,107.98
11/06/2026, 08:29:01,%RH,109.753
11/06/2026, 08:59:01,%RH,107.98
11/06/2026, 09:29:01,%RH,107.083
11/06/2026, 09:59:01,%RH,106.632
11/06/2026, 10:29:01,%RH,109.753
11/06/2026, 10:59:01,%RH,108.426
11/06/2026, 11:29:01,%RH,104.811
11/06/2026, 11:59:01,%RH,110.192
11/06/2026, 12:29:01,%RH,106.18
11/06/2026, 12:59:01,%RH,104.811
11/06/2026, 13:29:01,%RH,102.497
11/06/2026, 13:59:01,%RH,104.352
11/06/2026, 14:29:01,%RH,101.559
11/06/2026, 14:59:01,%RH,104.811
11/06/2026, 15:29:01,%RH,107.083
11/06/2026, 15:59:01,%RH,105.269
11/06/2026, 16:29:01,%RH,102.963
11/06/2026, 16:59:01,%RH,104.352
11/06/2026, 17:29:01,%RH,102.029
11/06/2026, 17:59:01,%RH,102.963
11/06/2026, 18:29:01,%RH,106.18
11/06/2026, 18:59:01,%RH,102.497
11/06/2026, 19:29:01,%RH,109.753
11/06/2026, 19:59:01,%RH,107.533
11/06/2026, 20:29:01,%RH,103.428
11/06/2026, 20:59:01,%RH,105.725
11/06/2026, 21:29:01,%RH,102.497
11/06/2026, 21:59:01,%RH,102.963
11/06/2026, 22:29:01,%RH,110.63
11/06/2026, 22:59:01,%RH,103.891
11/06/2026, 23:29:01,%RH,108.426
11/06/2026, 23:59:01,%RH,102.029
12/06/2026, 00:29:01,%RH,107.533
12/06/2026, 00:59:01,%RH,109.313
12/06/2026, 01:29:01,%RH,105.269
12/06/2026, 01:59:01,%RH,107.533
12/06/2026, 02:29:01,%RH,105.269
12/06/2026, 02:59:01,%RH,101.087
12/06/2026, 03:29:01,%RH,105.725
12/06/2026, 03:59:01,%RH,101.087
12/06/2026, 04:29:01,%RH,105.269
12/06/2026, 04:59:01,%RH,107.533
12/06/2026, 05:29:01,%RH,102.963
12/06/2026, 05:59:01,%RH,107.98
12/06/2026, 06:29:01,%RH,103.891
12/06/2026, 06:59:01,%RH,102.029
12/06/2026, 07:29:01,%RH,108.426
12/06/2026, 07:59:01,%RH,102.497
12/06/2026, 08:29:01,%RH,107.083
12/06/2026, 08:59:01,%RH,104.352
12/06/2026, 09:29:01,%RH,107.98
12/06/2026, 09:59:01,%RH,107.533
