1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Mar 04 00:00:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 10 04:30:01 BST 2026
Total Mission Samples:  5879
Total Device Samples:  112113
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/04/2026, 04:30:01,%RH,98.59
10/04/2026, 05:00:01,%RH,100.042
10/04/2026, 05:30:01,%RH,99.559
10/04/2026, 06:00:01,%RH,100.522
10/04/2026, 06:30:01,%RH,101.954
10/04/2026, 07:00:01,%RH,100.522
10/04/2026, 07:30:01,%RH,100.042
10/04/2026, 08:00:01,%RH,95.147
10/04/2026, 08:30:01,%RH,98.103
10/04/2026, 09:00:01,%RH,90.09
10/04/2026, 09:30:01,%RH,86.455
10/04/2026, 10:00:01,%RH,81.665
10/04/2026, 10:30:01,%RH,76.189
10/04/2026, 11:00:01,%RH,69.979
10/04/2026, 11:30:01,%RH,71.123
10/04/2026, 12:00:01,%RH,65.926
10/04/2026, 12:30:01,%RH,68.829
10/04/2026, 13:00:01,%RH,66.51
10/04/2026, 13:30:01,%RH,64.753
10/04/2026, 14:00:01,%RH,64.164
10/04/2026, 14:30:01,%RH,58.793
10/04/2026, 15:00:01,%RH,58.188
10/04/2026, 15:30:01,%RH,59.998
10/04/2026, 16:00:01,%RH,60.598
10/04/2026, 16:30:01,%RH,61.793
10/04/2026, 17:00:01,%RH,62.389
10/04/2026, 17:30:01,%RH,65.926
10/04/2026, 18:00:01,%RH,65.34
10/04/2026, 18:30:01,%RH,69.979
10/04/2026, 19:00:01,%RH,69.405
10/04/2026, 19:30:01,%RH,73.953
10/04/2026, 20:00:01,%RH,72.26
10/04/2026, 20:30:01,%RH,71.692
10/04/2026, 21:00:01,%RH,70.552
10/04/2026, 21:30:01,%RH,72.826
10/04/2026, 22:00:01,%RH,78.398
10/04/2026, 22:30:01,%RH,81.124
10/04/2026, 23:00:01,%RH,83.276
10/04/2026, 23:30:01,%RH,82.203
11/04/2026, 00:00:01,%RH,83.276
11/04/2026, 00:30:01,%RH,82.74
11/04/2026, 01:00:01,%RH,87.502
11/04/2026, 01:30:01,%RH,85.402
11/04/2026, 02:00:01,%RH,93.647
11/04/2026, 02:30:01,%RH,95.643
11/04/2026, 03:00:01,%RH,97.124
11/04/2026, 03:30:01,%RH,99.075
11/04/2026, 04:00:01,%RH,99.075
11/04/2026, 04:30:01,%RH,99.559
11/04/2026, 05:00:01,%RH,97.124
11/04/2026, 05:30:01,%RH,100.042
11/04/2026, 06:00:01,%RH,101.001
11/04/2026, 06:30:01,%RH,101.479
11/04/2026, 07:00:01,%RH,104.309
11/04/2026, 07:30:01,%RH,103.841
11/04/2026, 08:00:01,%RH,103.841
11/04/2026, 08:30:01,%RH,101.479
11/04/2026, 09:00:01,%RH,99.075
11/04/2026, 09:30:01,%RH,94.148
11/04/2026, 10:00:01,%RH,88.023
11/04/2026, 10:30:01,%RH,88.023
11/04/2026, 11:00:01,%RH,79.494
11/04/2026, 11:30:01,%RH,80.039
11/04/2026, 12:00:01,%RH,75.074
11/04/2026, 12:30:01,%RH,78.947
11/04/2026, 13:00:01,%RH,80.582
11/04/2026, 13:30:01,%RH,84.873
11/04/2026, 14:00:01,%RH,94.148
11/04/2026, 14:30:01,%RH,93.143
11/04/2026, 15:00:01,%RH,90.09
11/04/2026, 15:30:01,%RH,92.639
11/04/2026, 16:00:01,%RH,94.148
11/04/2026, 16:30:01,%RH,90.603
11/04/2026, 17:00:01,%RH,89.576
11/04/2026, 17:30:01,%RH,84.342
11/04/2026, 18:00:01,%RH,83.276
11/04/2026, 18:30:01,%RH,82.74
11/04/2026, 19:00:01,%RH,86.979
11/04/2026, 19:30:01,%RH,97.614
11/04/2026, 20:00:01,%RH,97.614
11/04/2026, 20:30:01,%RH,93.647
11/04/2026, 21:00:01,%RH,93.647
11/04/2026, 21:30:01,%RH,97.124
11/04/2026, 22:00:01,%RH,101.001
11/04/2026, 22:30:01,%RH,102.901
11/04/2026, 23:00:01,%RH,102.429
11/04/2026, 23:30:01,%RH,103.372
12/04/2026, 00:00:01,%RH,103.372
12/04/2026, 00:30:01,%RH,103.372
12/04/2026, 01:00:01,%RH,103.372
12/04/2026, 01:30:01,%RH,101.001
12/04/2026, 02:00:01,%RH,99.075
12/04/2026, 02:30:01,%RH,99.559
12/04/2026, 03:00:01,%RH,99.075
12/04/2026, 03:30:01,%RH,99.075
12/04/2026, 04:00:01,%RH,98.103
12/04/2026, 04:30:01,%RH,97.614
12/04/2026, 05:00:01,%RH,97.124
12/04/2026, 05:30:01,%RH,96.632
12/04/2026, 06:00:01,%RH,98.103
12/04/2026, 06:30:01,%RH,98.103
12/04/2026, 07:00:01,%RH,97.614
12/04/2026, 07:30:01,%RH,96.139
12/04/2026, 08:00:01,%RH,96.632
12/04/2026, 08:30:01,%RH,96.139
12/04/2026, 09:00:01,%RH,94.148
12/04/2026, 09:30:01,%RH,96.632
12/04/2026, 10:00:01,%RH,95.643
12/04/2026, 10:30:01,%RH,92.132
12/04/2026, 11:00:01,%RH,89.06
12/04/2026, 11:30:01,%RH,87.502
12/04/2026, 12:00:01,%RH,84.873
12/04/2026, 12:30:01,%RH,86.979
12/04/2026, 13:00:01,%RH,88.023
12/04/2026, 13:30:01,%RH,84.873
12/04/2026, 14:00:01,%RH,82.74
12/04/2026, 14:30:01,%RH,82.203
12/04/2026, 15:00:01,%RH,76.189
12/04/2026, 15:30:01,%RH,77.848
12/04/2026, 16:00:01,%RH,76.189
12/04/2026, 16:30:01,%RH,78.398
12/04/2026, 17:00:01,%RH,75.074
