1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 980000007EFFAD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Jul 04 22:46:01 BST 2026
Mission Sample Count:  2909
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jul 04 22:46:01 BST 2026
Total Mission Samples:  2909
Total Device Samples:  68386
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/07/2026, 22:46:01,%RH,100.189
04/07/2026, 23:16:01,%RH,100.189
04/07/2026, 23:46:01,%RH,100.687
05/07/2026, 00:16:01,%RH,100.687
05/07/2026, 00:46:01,%RH,100.687
05/07/2026, 01:16:01,%RH,100.687
05/07/2026, 01:46:01,%RH,100.687
05/07/2026, 02:16:01,%RH,100.687
05/07/2026, 02:46:01,%RH,101.183
05/07/2026, 03:16:01,%RH,100.687
05/07/2026, 03:46:01,%RH,100.687
05/07/2026, 04:16:01,%RH,100.687
05/07/2026, 04:46:01,%RH,100.189
05/07/2026, 05:16:01,%RH,100.687
05/07/2026, 05:46:01,%RH,101.183
05/07/2026, 06:16:01,%RH,101.183
05/07/2026, 06:46:01,%RH,101.183
05/07/2026, 07:16:01,%RH,101.677
05/07/2026, 07:46:01,%RH,101.183
05/07/2026, 08:16:01,%RH,100.687
05/07/2026, 08:46:01,%RH,100.687
05/07/2026, 09:16:01,%RH,100.189
05/07/2026, 09:46:01,%RH,99.69
05/07/2026, 10:16:01,%RH,99.69
05/07/2026, 10:46:01,%RH,99.189
05/07/2026, 11:16:01,%RH,100.189
05/07/2026, 11:46:01,%RH,99.189
05/07/2026, 12:16:01,%RH,100.189
05/07/2026, 12:46:01,%RH,99.69
05/07/2026, 13:16:01,%RH,99.189
05/07/2026, 13:46:01,%RH,98.182
05/07/2026, 14:16:01,%RH,99.189
05/07/2026, 14:46:01,%RH,97.168
05/07/2026, 15:16:01,%RH,94.604
05/07/2026, 15:46:01,%RH,97.676
05/07/2026, 16:16:01,%RH,96.659
05/07/2026, 16:46:01,%RH,98.182
05/07/2026, 17:16:01,%RH,97.676
05/07/2026, 17:46:01,%RH,97.676
05/07/2026, 18:16:01,%RH,97.676
05/07/2026, 18:46:01,%RH,97.676
05/07/2026, 19:16:01,%RH,99.189
05/07/2026, 19:46:01,%RH,96.659
05/07/2026, 20:16:01,%RH,97.676
05/07/2026, 20:46:01,%RH,98.686
05/07/2026, 21:16:01,%RH,98.686
05/07/2026, 21:46:01,%RH,101.183
