1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Mar 04 00:00:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Fri Apr 10 05:00:01 BST 2026
Total Mission Samples:  5880
Total Device Samples:  162031
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/04/2026, 05:00:01,%RH,102.739
10/04/2026, 05:30:01,%RH,103.714
10/04/2026, 06:00:01,%RH,104.683
10/04/2026, 06:30:01,%RH,106.122
10/04/2026, 07:00:01,%RH,106.122
10/04/2026, 07:30:01,%RH,106.122
10/04/2026, 08:00:01,%RH,99.77
10/04/2026, 08:30:01,%RH,103.228
10/04/2026, 09:00:01,%RH,93.64
10/04/2026, 09:30:01,%RH,91.539
10/04/2026, 10:00:01,%RH,81.171
10/04/2026, 10:30:01,%RH,81.171
10/04/2026, 11:00:01,%RH,70.158
10/04/2026, 11:30:01,%RH,71.348
10/04/2026, 12:00:01,%RH,64.716
10/04/2026, 12:30:01,%RH,68.961
10/04/2026, 13:00:01,%RH,68.36
10/04/2026, 13:30:01,%RH,62.871
10/04/2026, 14:00:01,%RH,63.488
10/04/2026, 14:30:01,%RH,57.869
10/04/2026, 15:00:01,%RH,58.501
10/04/2026, 15:30:01,%RH,61.631
10/04/2026, 16:00:01,%RH,59.13
10/04/2026, 16:30:01,%RH,62.252
10/04/2026, 17:00:01,%RH,63.488
10/04/2026, 17:30:01,%RH,67.153
10/04/2026, 18:00:01,%RH,67.153
10/04/2026, 18:30:01,%RH,71.94
10/04/2026, 19:00:01,%RH,70.754
10/04/2026, 19:30:01,%RH,75.455
10/04/2026, 20:00:01,%RH,73.705
10/04/2026, 20:30:01,%RH,72.53
10/04/2026, 21:00:01,%RH,70.754
10/04/2026, 21:30:01,%RH,73.705
10/04/2026, 22:00:01,%RH,80.042
