1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007F047B41
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Mar 04 00:00:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:30:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  164960
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/06/2026, 05:30:01,C,7.531
10/06/2026, 06:00:01,C,7.531
10/06/2026, 06:30:01,C,7.531
10/06/2026, 07:00:01,C,7.531
10/06/2026, 07:30:01,C,8.032
10/06/2026, 08:00:01,C,8.533
10/06/2026, 08:30:01,C,8.533
10/06/2026, 09:00:01,C,9.034
10/06/2026, 09:30:01,C,9.034
10/06/2026, 10:00:01,C,10.036
10/06/2026, 10:30:01,C,10.036
10/06/2026, 11:00:01,C,10.036
10/06/2026, 11:30:01,C,11.038
10/06/2026, 12:00:01,C,10.537
10/06/2026, 12:30:01,C,10.537
10/06/2026, 13:00:01,C,12.039
10/06/2026, 13:30:01,C,12.039
10/06/2026, 14:00:01,C,12.039
10/06/2026, 14:30:01,C,12.54
10/06/2026, 15:00:01,C,11.539
10/06/2026, 15:30:01,C,11.038
10/06/2026, 16:00:01,C,11.038
10/06/2026, 16:30:01,C,12.039
10/06/2026, 17:00:01,C,12.039
10/06/2026, 17:30:01,C,11.539
10/06/2026, 18:00:01,C,12.039
10/06/2026, 18:30:01,C,11.539
10/06/2026, 19:00:01,C,11.038
10/06/2026, 19:30:01,C,11.038
10/06/2026, 20:00:01,C,11.038
10/06/2026, 20:30:01,C,11.038
10/06/2026, 21:00:01,C,9.535
10/06/2026, 21:30:01,C,9.034
10/06/2026, 22:00:01,C,7.531
10/06/2026, 22:30:01,C,6.528
10/06/2026, 23:00:01,C,6.528
10/06/2026, 23:30:01,C,7.03
11/06/2026, 00:00:01,C,6.528
11/06/2026, 00:30:01,C,7.03
11/06/2026, 01:00:01,C,6.528
11/06/2026, 01:30:01,C,6.027
11/06/2026, 02:00:01,C,6.027
11/06/2026, 02:30:01,C,5.526
11/06/2026, 03:00:01,C,5.526
11/06/2026, 03:30:01,C,5.526
11/06/2026, 04:00:01,C,6.027
11/06/2026, 04:30:01,C,6.528
11/06/2026, 05:00:01,C,7.03
11/06/2026, 05:30:01,C,8.032
11/06/2026, 06:00:01,C,8.533
11/06/2026, 06:30:01,C,9.034
11/06/2026, 07:00:01,C,9.535
11/06/2026, 07:30:01,C,9.535
11/06/2026, 08:00:01,C,9.535
11/06/2026, 08:30:01,C,9.535
11/06/2026, 09:00:01,C,9.535
11/06/2026, 09:30:01,C,9.535
11/06/2026, 10:00:01,C,9.535
11/06/2026, 10:30:01,C,10.036
11/06/2026, 11:00:01,C,10.036
11/06/2026, 11:30:01,C,10.537
11/06/2026, 12:00:01,C,11.038
11/06/2026, 12:30:01,C,11.038
11/06/2026, 13:00:01,C,11.038
11/06/2026, 13:30:01,C,11.539
11/06/2026, 14:00:01,C,11.539
11/06/2026, 14:30:01,C,12.039
11/06/2026, 15:00:01,C,13.041
11/06/2026, 15:30:01,C,14.042
11/06/2026, 16:00:01,C,14.042
11/06/2026, 16:30:01,C,13.542
11/06/2026, 17:00:01,C,13.542
11/06/2026, 17:30:01,C,13.542
11/06/2026, 18:00:01,C,13.542
11/06/2026, 18:30:01,C,13.542
11/06/2026, 19:00:01,C,13.542
11/06/2026, 19:30:01,C,13.542
11/06/2026, 20:00:01,C,13.542
11/06/2026, 20:30:01,C,13.041
11/06/2026, 21:00:01,C,13.041
11/06/2026, 21:30:01,C,13.041
11/06/2026, 22:00:01,C,13.041
11/06/2026, 22:30:01,C,13.041
11/06/2026, 23:00:01,C,13.041
11/06/2026, 23:30:01,C,13.041
12/06/2026, 00:00:01,C,12.54
