1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Mar 04 00:00:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:30:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  115043
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/06/2026, 05:30:01,%RH,103.841
10/06/2026, 06:00:01,%RH,103.841
10/06/2026, 06:30:01,%RH,102.901
10/06/2026, 07:00:01,%RH,100.522
10/06/2026, 07:30:01,%RH,101.954
10/06/2026, 08:00:01,%RH,101.954
10/06/2026, 08:30:01,%RH,102.429
10/06/2026, 09:00:01,%RH,98.59
10/06/2026, 09:30:01,%RH,98.103
10/06/2026, 10:00:01,%RH,96.139
10/06/2026, 10:30:01,%RH,95.147
10/06/2026, 11:00:01,%RH,92.639
10/06/2026, 11:30:01,%RH,89.06
10/06/2026, 12:00:01,%RH,86.979
10/06/2026, 12:30:01,%RH,93.647
10/06/2026, 13:00:01,%RH,90.09
10/06/2026, 13:30:01,%RH,88.023
10/06/2026, 14:00:01,%RH,81.665
10/06/2026, 14:30:01,%RH,85.402
10/06/2026, 15:00:01,%RH,91.114
10/06/2026, 15:30:01,%RH,92.132
10/06/2026, 16:00:01,%RH,88.542
10/06/2026, 16:30:01,%RH,87.502
10/06/2026, 17:00:01,%RH,88.023
10/06/2026, 17:30:01,%RH,87.502
10/06/2026, 18:00:01,%RH,88.023
10/06/2026, 18:30:01,%RH,89.06
10/06/2026, 19:00:01,%RH,90.09
10/06/2026, 19:30:01,%RH,90.603
10/06/2026, 20:00:01,%RH,92.132
10/06/2026, 20:30:01,%RH,94.648
10/06/2026, 21:00:01,%RH,95.643
10/06/2026, 21:30:01,%RH,97.124
10/06/2026, 22:00:01,%RH,98.59
10/06/2026, 22:30:01,%RH,101.479
10/06/2026, 23:00:01,%RH,103.372
10/06/2026, 23:30:01,%RH,103.372
11/06/2026, 00:00:01,%RH,103.841
11/06/2026, 00:30:01,%RH,103.372
11/06/2026, 01:00:01,%RH,103.372
11/06/2026, 01:30:01,%RH,104.309
11/06/2026, 02:00:01,%RH,103.372
11/06/2026, 02:30:01,%RH,104.309
11/06/2026, 03:00:01,%RH,104.309
11/06/2026, 03:30:01,%RH,104.309
11/06/2026, 04:00:01,%RH,104.775
11/06/2026, 04:30:01,%RH,104.309
11/06/2026, 05:00:01,%RH,104.775
11/06/2026, 05:30:01,%RH,104.775
11/06/2026, 06:00:01,%RH,104.775
11/06/2026, 06:30:01,%RH,103.841
11/06/2026, 07:00:01,%RH,104.775
11/06/2026, 07:30:01,%RH,103.841
11/06/2026, 08:00:01,%RH,104.309
11/06/2026, 08:30:01,%RH,102.901
11/06/2026, 09:00:01,%RH,103.841
11/06/2026, 09:30:01,%RH,104.309
11/06/2026, 10:00:01,%RH,103.372
11/06/2026, 10:30:01,%RH,103.372
11/06/2026, 11:00:01,%RH,102.901
11/06/2026, 11:30:01,%RH,102.901
11/06/2026, 12:00:01,%RH,103.841
11/06/2026, 12:30:01,%RH,101.954
11/06/2026, 13:00:01,%RH,102.429
11/06/2026, 13:30:01,%RH,101.001
11/06/2026, 14:00:01,%RH,99.559
11/06/2026, 14:30:01,%RH,101.479
11/06/2026, 15:00:01,%RH,101.001
11/06/2026, 15:30:01,%RH,101.954
11/06/2026, 16:00:01,%RH,100.042
11/06/2026, 16:30:01,%RH,100.522
11/06/2026, 17:00:01,%RH,101.001
11/06/2026, 17:30:01,%RH,101.479
11/06/2026, 18:00:01,%RH,102.429
11/06/2026, 18:30:01,%RH,101.479
11/06/2026, 19:00:01,%RH,102.901
11/06/2026, 19:30:01,%RH,102.429
11/06/2026, 20:00:01,%RH,102.429
11/06/2026, 20:30:01,%RH,101.954
11/06/2026, 21:00:01,%RH,103.372
11/06/2026, 21:30:01,%RH,101.479
11/06/2026, 22:00:01,%RH,101.954
11/06/2026, 22:30:01,%RH,102.901
11/06/2026, 23:00:01,%RH,102.429
11/06/2026, 23:30:01,%RH,102.901
12/06/2026, 00:00:01,%RH,102.429
12/06/2026, 00:30:01,%RH,101.954
12/06/2026, 01:00:01,%RH,101.479
12/06/2026, 01:30:01,%RH,100.042
12/06/2026, 02:00:01,%RH,101.001
12/06/2026, 02:30:01,%RH,101.001
12/06/2026, 03:00:01,%RH,101.001
12/06/2026, 03:30:01,%RH,102.429
12/06/2026, 04:00:01,%RH,101.479
12/06/2026, 04:30:01,%RH,99.075
12/06/2026, 05:00:01,%RH,98.59
12/06/2026, 05:30:01,%RH,101.001
12/06/2026, 06:00:01,%RH,100.522
12/06/2026, 06:30:01,%RH,101.954
12/06/2026, 07:00:01,%RH,100.042
