1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007D602141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Wed Mar 04 00:00:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:30:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  115043
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/06/2026, 05:30:01,C,7.087
10/06/2026, 06:00:01,C,7.589
10/06/2026, 06:30:01,C,7.589
10/06/2026, 07:00:01,C,7.087
10/06/2026, 07:30:01,C,7.589
10/06/2026, 08:00:01,C,8.09
10/06/2026, 08:30:01,C,8.09
10/06/2026, 09:00:01,C,9.094
10/06/2026, 09:30:01,C,8.592
10/06/2026, 10:00:01,C,10.097
10/06/2026, 10:30:01,C,9.595
10/06/2026, 11:00:01,C,9.595
10/06/2026, 11:30:01,C,11.1
10/06/2026, 12:00:01,C,10.599
10/06/2026, 12:30:01,C,10.097
10/06/2026, 13:00:01,C,11.1
10/06/2026, 13:30:01,C,11.601
10/06/2026, 14:00:01,C,12.604
10/06/2026, 14:30:01,C,12.103
10/06/2026, 15:00:01,C,11.601
10/06/2026, 15:30:01,C,10.599
10/06/2026, 16:00:01,C,11.1
10/06/2026, 16:30:01,C,11.601
10/06/2026, 17:00:01,C,11.601
10/06/2026, 17:30:01,C,11.601
10/06/2026, 18:00:01,C,12.103
10/06/2026, 18:30:01,C,11.1
10/06/2026, 19:00:01,C,11.1
10/06/2026, 19:30:01,C,11.1
10/06/2026, 20:00:01,C,10.599
10/06/2026, 20:30:01,C,10.599
10/06/2026, 21:00:01,C,9.595
10/06/2026, 21:30:01,C,9.094
10/06/2026, 22:00:01,C,7.589
10/06/2026, 22:30:01,C,6.083
10/06/2026, 23:00:01,C,6.083
10/06/2026, 23:30:01,C,6.585
11/06/2026, 00:00:01,C,6.585
11/06/2026, 00:30:01,C,6.585
11/06/2026, 01:00:01,C,6.083
11/06/2026, 01:30:01,C,5.581
11/06/2026, 02:00:01,C,5.079
11/06/2026, 02:30:01,C,5.079
11/06/2026, 03:00:01,C,4.577
11/06/2026, 03:30:01,C,4.577
11/06/2026, 04:00:01,C,5.581
11/06/2026, 04:30:01,C,6.083
11/06/2026, 05:00:01,C,6.585
11/06/2026, 05:30:01,C,7.589
11/06/2026, 06:00:01,C,7.589
11/06/2026, 06:30:01,C,8.592
11/06/2026, 07:00:01,C,9.094
11/06/2026, 07:30:01,C,9.094
11/06/2026, 08:00:01,C,9.094
11/06/2026, 08:30:01,C,9.094
11/06/2026, 09:00:01,C,9.094
11/06/2026, 09:30:01,C,9.595
11/06/2026, 10:00:01,C,9.595
11/06/2026, 10:30:01,C,9.595
11/06/2026, 11:00:01,C,9.595
11/06/2026, 11:30:01,C,10.097
11/06/2026, 12:00:01,C,10.599
11/06/2026, 12:30:01,C,10.599
11/06/2026, 13:00:01,C,10.599
11/06/2026, 13:30:01,C,11.1
11/06/2026, 14:00:01,C,11.1
11/06/2026, 14:30:01,C,11.601
11/06/2026, 15:00:01,C,12.604
11/06/2026, 15:30:01,C,13.607
11/06/2026, 16:00:01,C,13.607
11/06/2026, 16:30:01,C,13.607
