1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 980000007EFFAD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Sat Jul 04 22:46:01 BST 2026
Mission Sample Count:  2909
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jul 04 22:46:01 BST 2026
Total Mission Samples:  2909
Total Device Samples:  68386
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/07/2026, 22:46:01,C,15.132
04/07/2026, 23:16:01,C,15.132
04/07/2026, 23:46:01,C,15.132
05/07/2026, 00:16:01,C,14.631
05/07/2026, 00:46:01,C,14.631
05/07/2026, 01:16:01,C,14.631
05/07/2026, 01:46:01,C,14.631
05/07/2026, 02:16:01,C,14.631
05/07/2026, 02:46:01,C,14.13
05/07/2026, 03:16:01,C,14.13
05/07/2026, 03:46:01,C,14.13
05/07/2026, 04:16:01,C,13.629
05/07/2026, 04:46:01,C,13.629
05/07/2026, 05:16:01,C,13.629
05/07/2026, 05:46:01,C,13.629
05/07/2026, 06:16:01,C,13.629
05/07/2026, 06:46:01,C,13.629
05/07/2026, 07:16:01,C,13.629
05/07/2026, 07:46:01,C,13.629
05/07/2026, 08:16:01,C,14.631
05/07/2026, 08:46:01,C,14.13
05/07/2026, 09:16:01,C,14.631
05/07/2026, 09:46:01,C,14.631
05/07/2026, 10:16:01,C,14.631
05/07/2026, 10:46:01,C,14.631
05/07/2026, 11:16:01,C,15.132
05/07/2026, 11:46:01,C,15.132
05/07/2026, 12:16:01,C,14.631
05/07/2026, 12:46:01,C,15.132
05/07/2026, 13:16:01,C,15.633
05/07/2026, 13:46:01,C,15.633
05/07/2026, 14:16:01,C,16.134
05/07/2026, 14:46:01,C,15.633
05/07/2026, 15:16:01,C,15.633
05/07/2026, 15:46:01,C,15.633
05/07/2026, 16:16:01,C,15.633
05/07/2026, 16:46:01,C,15.132
05/07/2026, 17:16:01,C,15.633
05/07/2026, 17:46:01,C,15.633
05/07/2026, 18:16:01,C,15.633
05/07/2026, 18:46:01,C,15.132
05/07/2026, 19:16:01,C,15.132
05/07/2026, 19:46:01,C,15.132
05/07/2026, 20:16:01,C,15.132
05/07/2026, 20:46:01,C,15.132
05/07/2026, 21:16:01,C,15.132
05/07/2026, 21:46:01,C,15.132
05/07/2026, 22:16:01,C,15.132
05/07/2026, 22:46:01,C,15.132
05/07/2026, 23:16:01,C,15.132
05/07/2026, 23:46:01,C,15.132
06/07/2026, 00:16:01,C,15.132
06/07/2026, 00:46:01,C,14.631
06/07/2026, 01:16:01,C,14.631
06/07/2026, 01:46:01,C,14.631
06/07/2026, 02:16:01,C,14.631
06/07/2026, 02:46:01,C,14.631
06/07/2026, 03:16:01,C,14.631
06/07/2026, 03:46:01,C,14.631
06/07/2026, 04:16:01,C,14.631
06/07/2026, 04:46:01,C,14.631
06/07/2026, 05:16:01,C,14.631
06/07/2026, 05:46:01,C,14.631
06/07/2026, 06:16:01,C,14.631
06/07/2026, 06:46:01,C,14.631
06/07/2026, 07:16:01,C,14.631
06/07/2026, 07:46:01,C,14.631
06/07/2026, 08:16:01,C,15.132
06/07/2026, 08:46:01,C,15.132
06/07/2026, 09:16:01,C,16.134
06/07/2026, 09:46:01,C,16.134
06/07/2026, 10:16:01,C,16.635
06/07/2026, 10:46:01,C,17.637
06/07/2026, 11:16:01,C,16.635
06/07/2026, 11:46:01,C,18.138
06/07/2026, 12:16:01,C,17.136
06/07/2026, 12:46:01,C,18.638
06/07/2026, 13:16:01,C,18.138
06/07/2026, 13:46:01,C,18.138
06/07/2026, 14:16:01,C,18.138
06/07/2026, 14:46:01,C,17.637
06/07/2026, 15:16:01,C,18.138
06/07/2026, 15:46:01,C,18.638
06/07/2026, 16:16:01,C,18.638
06/07/2026, 16:46:01,C,18.138
06/07/2026, 17:16:01,C,17.637
06/07/2026, 17:46:01,C,17.637
06/07/2026, 18:16:01,C,17.136
06/07/2026, 18:46:01,C,17.136
06/07/2026, 19:16:01,C,16.635
06/07/2026, 19:46:01,C,16.134
06/07/2026, 20:16:01,C,16.134
06/07/2026, 20:46:01,C,16.134
06/07/2026, 21:16:01,C,15.633
06/07/2026, 21:46:01,C,15.132
06/07/2026, 22:16:01,C,15.132
06/07/2026, 22:46:01,C,14.631
06/07/2026, 23:16:01,C,14.631
06/07/2026, 23:46:01,C,14.631
07/07/2026, 00:16:01,C,14.13
07/07/2026, 00:46:01,C,14.13
07/07/2026, 01:16:01,C,14.13
07/07/2026, 01:46:01,C,14.13
07/07/2026, 02:16:01,C,13.629
07/07/2026, 02:46:01,C,14.13
07/07/2026, 03:16:01,C,14.631
07/07/2026, 03:46:01,C,14.631
07/07/2026, 04:16:01,C,14.13
07/07/2026, 04:46:01,C,14.631
07/07/2026, 05:16:01,C,14.631
07/07/2026, 05:46:01,C,14.631
07/07/2026, 06:16:01,C,14.13
07/07/2026, 06:46:01,C,14.13
07/07/2026, 07:16:01,C,14.13
07/07/2026, 07:46:01,C,14.13
07/07/2026, 08:16:01,C,14.13
07/07/2026, 08:46:01,C,14.13
07/07/2026, 09:16:01,C,14.13
07/07/2026, 09:46:01,C,14.631
07/07/2026, 10:16:01,C,14.631
07/07/2026, 10:46:01,C,14.631
07/07/2026, 11:16:01,C,15.132
07/07/2026, 11:46:01,C,15.633
07/07/2026, 12:16:01,C,16.134
07/07/2026, 12:46:01,C,16.134
07/07/2026, 13:16:01,C,17.136
07/07/2026, 13:46:01,C,17.136
07/07/2026, 14:16:01,C,16.635
07/07/2026, 14:46:01,C,16.635
07/07/2026, 15:16:01,C,16.635
07/07/2026, 15:46:01,C,16.635
07/07/2026, 16:16:01,C,16.635
07/07/2026, 16:46:01,C,16.134
07/07/2026, 17:16:01,C,16.134
07/07/2026, 17:46:01,C,15.633
07/07/2026, 18:16:01,C,15.633
07/07/2026, 18:46:01,C,16.134
07/07/2026, 19:16:01,C,16.134
07/07/2026, 19:46:01,C,16.134
07/07/2026, 20:16:01,C,16.134
07/07/2026, 20:46:01,C,16.134
07/07/2026, 21:16:01,C,16.134
07/07/2026, 21:46:01,C,15.633
07/07/2026, 22:16:01,C,15.633
07/07/2026, 22:46:01,C,15.633
07/07/2026, 23:16:01,C,15.633
07/07/2026, 23:46:01,C,15.633
08/07/2026, 00:16:01,C,15.633
08/07/2026, 00:46:01,C,15.132
08/07/2026, 01:16:01,C,15.132
08/07/2026, 01:46:01,C,15.132
08/07/2026, 02:16:01,C,15.132
08/07/2026, 02:46:01,C,15.132
08/07/2026, 03:16:01,C,15.132
08/07/2026, 03:46:01,C,15.633
08/07/2026, 04:16:01,C,15.633
08/07/2026, 04:46:01,C,16.134
08/07/2026, 05:16:01,C,16.635
08/07/2026, 05:46:01,C,16.635
08/07/2026, 06:16:01,C,17.136
08/07/2026, 06:46:01,C,16.635
08/07/2026, 07:16:01,C,18.138
08/07/2026, 07:46:01,C,19.139
08/07/2026, 08:16:01,C,20.14
08/07/2026, 08:46:01,C,21.141
08/07/2026, 09:16:01,C,21.641
08/07/2026, 09:46:01,C,21.641
08/07/2026, 10:16:01,C,22.642
08/07/2026, 10:46:01,C,22.642
08/07/2026, 11:16:01,C,23.142
08/07/2026, 11:46:01,C,23.142
08/07/2026, 12:16:01,C,22.642
08/07/2026, 12:46:01,C,23.142
08/07/2026, 13:16:01,C,22.642
08/07/2026, 13:46:01,C,23.642
08/07/2026, 14:16:01,C,23.642
08/07/2026, 14:46:01,C,23.142
08/07/2026, 15:16:01,C,22.642
08/07/2026, 15:46:01,C,23.642
08/07/2026, 16:16:01,C,23.642
08/07/2026, 16:46:01,C,22.642
08/07/2026, 17:16:01,C,22.142
08/07/2026, 17:46:01,C,21.641
08/07/2026, 18:16:01,C,21.141
08/07/2026, 18:46:01,C,20.14
08/07/2026, 19:16:01,C,19.639
08/07/2026, 19:46:01,C,19.139
08/07/2026, 20:16:01,C,18.638
08/07/2026, 20:46:01,C,18.138
08/07/2026, 21:16:01,C,17.637
08/07/2026, 21:46:01,C,16.635
08/07/2026, 22:16:01,C,15.633
08/07/2026, 22:46:01,C,15.132
08/07/2026, 23:16:01,C,14.631
08/07/2026, 23:46:01,C,14.13
09/07/2026, 00:16:01,C,13.629
09/07/2026, 00:46:01,C,13.629
09/07/2026, 01:16:01,C,13.128
09/07/2026, 01:46:01,C,13.128
09/07/2026, 02:16:01,C,12.626
09/07/2026, 02:46:01,C,13.128
09/07/2026, 03:16:01,C,13.128
09/07/2026, 03:46:01,C,12.125
09/07/2026, 04:16:01,C,12.626
09/07/2026, 04:46:01,C,12.626
09/07/2026, 05:16:01,C,12.626
09/07/2026, 05:46:01,C,12.626
09/07/2026, 06:16:01,C,13.629
09/07/2026, 06:46:01,C,14.13
09/07/2026, 07:16:01,C,15.633
09/07/2026, 07:46:01,C,18.138
09/07/2026, 08:16:01,C,19.639
09/07/2026, 08:46:01,C,20.641
09/07/2026, 09:16:01,C,21.141
09/07/2026, 09:46:01,C,22.142
09/07/2026, 10:16:01,C,22.642
09/07/2026, 10:46:01,C,24.143
09/07/2026, 11:16:01,C,24.643
09/07/2026, 11:46:01,C,24.643
09/07/2026, 12:16:01,C,24.643
09/07/2026, 12:46:01,C,24.643
09/07/2026, 13:16:01,C,24.643
09/07/2026, 13:46:01,C,25.143
09/07/2026, 14:16:01,C,24.643
09/07/2026, 14:46:01,C,24.643
09/07/2026, 15:16:01,C,24.643
09/07/2026, 15:46:01,C,25.643
09/07/2026, 16:16:01,C,24.643
09/07/2026, 16:46:01,C,23.642
09/07/2026, 17:16:01,C,23.142
09/07/2026, 17:46:01,C,22.642
09/07/2026, 18:16:01,C,22.142
09/07/2026, 18:46:01,C,20.641
09/07/2026, 19:16:01,C,20.14
09/07/2026, 19:46:01,C,19.639
09/07/2026, 20:16:01,C,19.139
09/07/2026, 20:46:01,C,18.138
09/07/2026, 21:16:01,C,17.637
09/07/2026, 21:46:01,C,17.136
09/07/2026, 22:16:01,C,16.635
09/07/2026, 22:46:01,C,16.134
09/07/2026, 23:16:01,C,15.633
09/07/2026, 23:46:01,C,15.132
10/07/2026, 00:16:01,C,15.132
10/07/2026, 00:46:01,C,15.132
10/07/2026, 01:16:01,C,14.631
10/07/2026, 01:46:01,C,14.631
10/07/2026, 02:16:01,C,14.13
