1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007EFF7441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue Mar 03 23:59:01 GMT 2026
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jun 10 05:29:01 BST 2026
Total Mission Samples:  8809
Total Device Samples:  165887
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/06/2026, 05:29:01,%RH,108.528
10/06/2026, 05:59:01,%RH,107.55
10/06/2026, 06:29:01,%RH,106.072
10/06/2026, 06:59:01,%RH,104.079
10/06/2026, 07:29:01,%RH,105.576
10/06/2026, 07:59:01,%RH,104.58
10/06/2026, 08:29:01,%RH,104.079
10/06/2026, 08:59:01,%RH,98.991
10/06/2026, 09:29:01,%RH,98.474
10/06/2026, 09:59:01,%RH,98.474
10/06/2026, 10:29:01,%RH,97.435
10/06/2026, 10:59:01,%RH,93.751
10/06/2026, 11:29:01,%RH,91.074
10/06/2026, 11:59:01,%RH,90.534
10/06/2026, 12:29:01,%RH,96.39
10/06/2026, 12:59:01,%RH,94.811
10/06/2026, 13:29:01,%RH,90.534
10/06/2026, 13:59:01,%RH,81.687
10/06/2026, 14:29:01,%RH,83.376
10/06/2026, 14:59:01,%RH,93.751
10/06/2026, 15:29:01,%RH,95.339
10/06/2026, 15:59:01,%RH,92.685
10/06/2026, 16:29:01,%RH,93.219
10/06/2026, 16:59:01,%RH,91.612
10/06/2026, 17:29:01,%RH,89.449
10/06/2026, 17:59:01,%RH,88.905
10/06/2026, 18:29:01,%RH,91.074
10/06/2026, 18:59:01,%RH,91.612
10/06/2026, 19:29:01,%RH,92.149
10/06/2026, 19:59:01,%RH,93.219
10/06/2026, 20:29:01,%RH,95.339
10/06/2026, 20:59:01,%RH,97.435
10/06/2026, 21:29:01,%RH,101.554
10/06/2026, 21:59:01,%RH,103.074
10/06/2026, 22:29:01,%RH,104.079
10/06/2026, 22:59:01,%RH,106.072
10/06/2026, 23:29:01,%RH,107.55
10/06/2026, 23:59:01,%RH,106.072
11/06/2026, 00:29:01,%RH,107.55
11/06/2026, 00:59:01,%RH,107.059
11/06/2026, 01:29:01,%RH,107.55
11/06/2026, 01:59:01,%RH,107.55
11/06/2026, 02:29:01,%RH,108.04
11/06/2026, 02:59:01,%RH,108.04
11/06/2026, 03:29:01,%RH,108.528
11/06/2026, 03:59:01,%RH,109.015
11/06/2026, 04:29:01,%RH,108.528
11/06/2026, 04:59:01,%RH,109.5
11/06/2026, 05:29:01,%RH,109.5
11/06/2026, 05:59:01,%RH,108.04
11/06/2026, 06:29:01,%RH,109.015
11/06/2026, 06:59:01,%RH,108.528
11/06/2026, 07:29:01,%RH,109.984
11/06/2026, 07:59:01,%RH,109.015
11/06/2026, 08:29:01,%RH,109.015
11/06/2026, 08:59:01,%RH,109.984
11/06/2026, 09:29:01,%RH,109.5
11/06/2026, 09:59:01,%RH,109.015
11/06/2026, 10:29:01,%RH,109.984
11/06/2026, 10:59:01,%RH,110.466
11/06/2026, 11:29:01,%RH,109.984
11/06/2026, 11:59:01,%RH,110.947
11/06/2026, 12:29:01,%RH,110.466
11/06/2026, 12:59:01,%RH,110.947
11/06/2026, 13:29:01,%RH,110.947
11/06/2026, 13:59:01,%RH,110.947
11/06/2026, 14:29:01,%RH,111.904
11/06/2026, 14:59:01,%RH,110.466
11/06/2026, 15:29:01,%RH,110.466
11/06/2026, 15:59:01,%RH,110.466
11/06/2026, 16:29:01,%RH,110.947
11/06/2026, 16:59:01,%RH,110.466
11/06/2026, 17:29:01,%RH,109.984
11/06/2026, 17:59:01,%RH,110.466
11/06/2026, 18:29:01,%RH,110.947
11/06/2026, 18:59:01,%RH,110.947
11/06/2026, 19:29:01,%RH,110.947
11/06/2026, 19:59:01,%RH,110.947
11/06/2026, 20:29:01,%RH,110.947
11/06/2026, 20:59:01,%RH,110.466
11/06/2026, 21:29:01,%RH,110.947
11/06/2026, 21:59:01,%RH,110.947
11/06/2026, 22:29:01,%RH,112.38
11/06/2026, 22:59:01,%RH,110.466
11/06/2026, 23:29:01,%RH,110.947
11/06/2026, 23:59:01,%RH,110.947
12/06/2026, 00:29:01,%RH,110.947
12/06/2026, 00:59:01,%RH,110.947
12/06/2026, 01:29:01,%RH,110.466
12/06/2026, 01:59:01,%RH,109.5
12/06/2026, 02:29:01,%RH,109.015
12/06/2026, 02:59:01,%RH,108.528
12/06/2026, 03:29:01,%RH,109.015
